Region,Aigle,Broye-Vully,Gros-de-Vaud,Jura-Nord vaudois,Lausanne,Lavaux-Oron,Morges,Nyon,Ouest lausannois,Riviera-Pays d'Enhaut,Total Canton Vaud
Parc de panneaux solaires,21.7,53.8,46.2,51.7,39.6,31.7,38.4,41.3,59.0,58.2,42.4
Place de jeu,33.6,31.9,29.2,35.5,31.5,30.8,38.2,34.2,29.0,22.2,32.7
Cubes d'habitation en périphérie,36.0,20.7,25.4,32.6,36.0,29.6,26.6,34.0,25.1,38.3,31.7
Grande infrastructure sportive,31.6,17.5,38.0,24.7,29.0,40.0,37.1,31.8,26.8,29.0,31.1
Voie verte,26.7,35.5,27.6,26.6,32.5,27.1,36.6,35.3,19.6,36.6,30.7
Bâtiment surélevé,25.4,35.2,34.3,23.0,32.2,16.6,27.0,30.7,28.0,33.8,29.0
Buvette éphémère,32.6,24.2,38.3,33.3,31.0,31.0,20.8,30.3,27.7,10.2,28.9
École,35.1,21.0,27.0,28.3,29.4,31.8,42.4,21.5,26.6,23.0,28.5
Espace de coworking,27.4,45.5,22.6,18.2,25.9,25.4,20.1,18.7,37.2,38.2,27.0
Terrain de sport,16.0,35.4,27.6,27.2,25.2,17.5,32.8,31.5,24.8,28.7,26.8
Éolienne,25.0,33.0,42.0,24.2,26.0,24.0,21.4,21.1,27.1,27.0,26.8
Zone de rencontre,14.1,18.2,33.4,13.4,20.0,29.1,36.8,22.3,20.0,20.0,22.5
Point retrait,22.1,24.3,31.0,27.7,25.6,26.7,12.9,18.0,17.7,16.6,22.1
Centre commercial en périphérie,32.1,23.7,16.6,25.4,17.4,20.8,9.4,29.7,5.6,22.9,19.8
Installation de biogaz,26.9,15.6,14.2,23.5,14.3,22.8,21.4,17.3,23.1,20.2,19.3
Espace animation nocturne,11.7,19.3,9.0,23.4,16.5,21.0,19.7,17.6,15.1,14.1,17.2
Stationnement,33.2,15.6,10.5,11.8,15.1,18.6,11.1,13.3,20.7,16.4,16.0
Scène de musique,17.8,15.6,10.3,16.8,17.6,11.6,20.4,13.5,13.3,19.4,15.8
Aire d'accueil pour gens du voyage,20.2,11.3,8.8,14.1,14.5,12.9,7.2,18.2,13.9,5.2,13.0
Tour de logement en ville,9.0,2.8,6.2,3.1,12.5,16.7,17.3,7.1,11.7,11.0,10.3
Gare,0.0,0.0,0.0,14.6,12.5,4.5,1.7,11.7,23.1,4.8,9.9